Drug ID,Drug Name,Interacts With Generic Name,Interaction Link
1,Abecma,adalimumab,https://www.drugs.com/drug-interactions/abecma-with-adalimumab-4250-19721-102-0.html
1,Abecma,"cholera vaccine, live",https://www.drugs.com/drug-interactions/abecma-with-cholera-vaccine-live-4250-19721-3772-0.html
1,Abecma,triamcinolone,https://www.drugs.com/drug-interactions/abecma-with-triamcinolone-4250-19721-2232-0.html
1,Abecma,"poliovirus vaccine, live, trivalent",https://www.drugs.com/drug-interactions/abecma-with-poliovirus-vaccine-live-trivalent-4250-19721-1891-0.html
1,Abecma,fluticasone,https://www.drugs.com/drug-interactions/abecma-with-fluticasone-4250-19721-1124-0.html
1,Abecma,etrasimod,https://www.drugs.com/drug-interactions/abecma-with-etrasimod-4250-19721-4550-0.html
1,Abecma,siponimod,https://www.drugs.com/drug-interactions/abecma-with-siponimod-4250-19721-4001-0.html
1,Abecma,rubella virus vaccine,https://www.drugs.com/drug-interactions/abecma-with-rubella-virus-vaccine-4250-19721-2034-0.html
1,Abecma,budesonide,https://www.drugs.com/drug-interactions/abecma-with-budesonide-4250-19721-431-0.html
1,Abecma,deferiprone,https://www.drugs.com/drug-interactions/abecma-with-deferiprone-4250-19721-3348-0.html
1,Abecma,bcg vaccine,https://www.drugs.com/drug-interactions/abecma-with-bcg-vaccine-4250-19721-3983-0.html
1,Abecma,bcg,https://www.drugs.com/drug-interactions/abecma-with-bcg-4250-19721-324-0.html
1,Abecma,nadofaragene firadenovec,https://www.drugs.com/drug-interactions/abecma-with-nadofaragene-firadenovec-4250-19721-4420-0.html
1,Abecma,talimogene laherparepvec,https://www.drugs.com/drug-interactions/abecma-with-talimogene-laherparepvec-4250-19721-3701-0.html
1,Abecma,hydrocortisone,https://www.drugs.com/drug-interactions/abecma-with-hydrocortisone-4250-19721-2379-0.html
1,Abecma,measles virus vaccine,https://www.drugs.com/drug-interactions/abecma-with-measles-virus-vaccine-4250-19721-1531-0.html
1,Abecma,baricitinib,https://www.drugs.com/drug-interactions/abecma-with-baricitinib-4250-19721-3917-0.html
1,Abecma,"chikungunya vaccine, live (cvx 317)",https://www.drugs.com/drug-interactions/abecma-with-chikungunya-vaccine-live-cvx-317-4250-19721-4560-0.html
1,Abecma,cladribine,https://www.drugs.com/drug-interactions/abecma-with-cladribine-4250-19721-684-0.html
1,Abecma,varicella virus vaccine,https://www.drugs.com/drug-interactions/abecma-with-varicella-virus-vaccine-4250-19721-2292-0.html
1,Abecma,"influenza virus vaccine, live",https://www.drugs.com/drug-interactions/abecma-with-influenza-virus-vaccine-live-4250-19721-1338-0.html
1,Abecma,ciclesonide,https://www.drugs.com/drug-interactions/abecma-with-ciclesonide-4250-19721-2791-0.html
1,Abecma,chloramphenicol,https://www.drugs.com/drug-interactions/abecma-with-chloramphenicol-4250-19721-579-0.html
1,Abecma,zoster vaccine live,https://www.drugs.com/drug-interactions/abecma-with-zoster-vaccine-live-4250-19721-2335-0.html
1,Abecma,methylprednisolone,https://www.drugs.com/drug-interactions/abecma-with-methylprednisolone-4250-19721-1607-0.html
2,Abilify,entacapone,https://www.drugs.com/drug-interactions/abilify-with-entacapone-233-109-979-0.html
2,Abilify,remifentanil,https://www.drugs.com/drug-interactions/abilify-with-remifentanil-233-109-1999-0.html
2,Abilify,meperidine,https://www.drugs.com/drug-interactions/abilify-with-meperidine-233-109-1557-0.html
2,Abilify,pergolide,https://www.drugs.com/drug-interactions/abilify-with-pergolide-233-109-1829-0.html
2,Abilify,enzalutamide,https://www.drugs.com/drug-interactions/abilify-with-enzalutamide-233-109-3414-0.html
2,Abilify,carbamazepine,https://www.drugs.com/drug-interactions/abilify-with-carbamazepine-233-109-497-0.html
