Drug Name,Drug Info,Usage,Warnings,Side Effects,Drug Interactions Link
Abecma,"
Pronunciation: uh-BEK-muh
Generic name:  idecabtagene vicleucel
Dosage form: suspension for intravenous infusion
Drug class: Miscellaneous antineoplastics","Abecma (idecabtagene vicleucel) is a CAR T-cell therapy used for treating relapsed or refractorymultiple myelomain certain adults. Abecma is a personalizedone-time infusionmade from a patient’s own white blood cells, which are genetically modified to recognize and attack multiple myeloma cells. Abecma FDA approvalwas granted for treating relapsed or refractory multiple myeloma (rrMM) in adults who have received at least two prior therapies, including an immunomodulatory agent,proteasome inhibitor, and an anti-CD38 monoclonal antibody.","Cytokine release syndrome or CRS. Abecma can cause a very common side effect called cytokine release syndrome, which can be severe or fatal. Symptoms of CRS include fever, difficulty breathing, dizziness or light-headedness, nausea, headache, fast heartbeat, low blood pressure, or fatigue. Tell your healthcare provider right away if you develop fever or any of these other symptoms. Infections. Abecma can increase the risk of life-threatening infections that may lead to death. Tell your healthcare provider right away if you develop fever, chills, or any signs or symptoms of an infection. It may also lower one or more types of blood cells (red blood cells, white blood cells, or platelets), which may make you feel weak or tired or increase your risk of severe infection or bleeding. After treatment, your healthcare provider will test your blood to check for this. Tell your healthcare provider right away if you get a fever, are feeling tired, or have bruising or bleeding.","cytokine release syndrome- CRS (confusion, trouble breathing, fast or irregular heartbeats, feeling light-headed or very tired);; headache, dizziness;; problems with speech;; low blood cell counts;; fever, chills, tiredness, or other signs ofinfection;; decreased appetite, severenauseaor diarrhea;; pain in your bones, joints, or muscles;; swelling anywhere in your body; or; cold symptomssuch as stuffy nose, sneezing,sore throat,cough.","https://www.drugs.com/drug-interactions/idecabtagene-vicleucel,abecma.html"
Abilify,"
Pronunciation: a BIL ĭ fī
Generic name: aripiprazole
Dosage form: tablets (2 mg, 5 mg, 10 mg, 15 mg, 20 mg, 30 mg)
Drug class: Atypical antipsychotics","Abilify (aripiprazole) is an antipsychotic medication used to treatschizophrenia,bipolar I disorder,major depressive disorder,Tourette's disorder, andautistic disorderin certain patients. Abilify helps to improve symptoms in these conditions by changing the activity of dopamine and serotonin in the brain. Abilify belongs to a class of medications called atypical antipsychotics.","Abilify is not approved for use in older adults withdementia-related psychosis. People with depression or mental illness may have thoughts about suicide. Some young people may have increased suicidal thoughts when first starting a medicine to treat depression. Tell your doctor right away if you have any sudden changes in mood or behavior, or thoughts about suicide.","blurred vision;; increased saliva ordrooling;; muscle stiffness;; uncontrolled muscle movements, shaking, anxiety, feeling restless;; weight gain;; nausea, vomiting,constipation;; increased or decreased appetite;; headache, dizziness, drowsiness, feeling tired;; sleep problems (insomnia); or; cold symptomssuch as stuffy nose, sneezing, sore throat;","https://www.drugs.com/drug-interactions/aripiprazole,abilify.html"
Abilify Asimtufii,"
Pronunciation: a-BIL-i-fy AH-SIM-TUH-FYE
Generic name: aripiprazole
Dosage form: intramuscular injection (960 mg/3.2 mL, 720 mg/2.4 mL)
Drug class: Atypical antipsychotics","Abilify Asimtufii is anatypical antipsychoticused forschizophreniaandbipolar I disorderin adults.Abilify Asimtufii is an extended-release injection that is given once every two months; this helps compliance and means patients only need 6 injections per year. Abilify Asimtufii is thought to work (mechanism of action) by balancing the levels of serotonin and dopamine in the brain, however, the exact mechanism of action for schizophrenia and bipolar I disorder is unknown.",Abilify Asimtufii is not approved for use in older adults withdementia-related psychoses. People with depression or mental illness may have thoughts about suicide. Some young people may have increased suicidal thoughts when first starting medicine to treat depression. Tell your doctor right away if you have any sudden changes in mood or behavior or thoughts about suicide.,Increased weight (17%); Akathisiamovement disorder with difficulty sitting or remain still (11%); Constipation (10%); Injection site pain (5%); Sedation (5%); Decreased weight (4%); Dizziness(4%); Upper respiratory tract infection(4%); Dry mouth(4%); Joint pain(4%); Back pain (4%); Muscle pain (4%); Musculoskeletal pain (3%); Diarrhea(3%); Vomiting(3%); Tremor (3%),"https://www.drugs.com/drug-interactions/aripiprazole,abilify-asimtufii.html"
Abilify Maintena,"
Generic name: aripiprazole lauroxil (injection) [ AR-i-PIP-ra-zole ]
Drug class: Atypical antipsychotics","Abilify Maintena (aripiprazole) extended-release injection is used alone or in combination with other aripiprazole preparations to treatschizophrenia(a mental illness that causes disturbed or unusual thinking, loss of interest in life, and strong or inappropriate emotions). Abilify Maintena injection is also used for the ongoing treatment of people withbipolar I disorder(manic-depressive disorder; a disease that causes episodes of depression, episodes of mania, and other abnormal moods)",Abilify Maintena is not approved for use in older adults with psychotic conditions related to dementia. Aripiprazole may increase the risk of death in older adults with dementia-related psychosis. You should not be treated with Abilify Maintena if you are allergic to aripiprazole.,Increase in weight17%; An inability to remain still (akathisia) 11%; Constipation10%; Injection site pain 5%; Sedation 5%; Dry mouth 4%; Upper respiratory tract infection 4%; Decrease in weight 4%; Dizziness 4%; Diarrhea 3%; Vomiting 3%; Muscle and joint pain3%; Tremor 3%; Abdominal discomfort 2%; Nasal congestion 2%.,"https://www.drugs.com/drug-interactions/aripiprazole,abilify-maintena.html"
Abiraterone,"
Generic name: abiraterone acetate [ A-bir-A-te-rone ]
Brand names: Yonsa, Zytiga
Dosage form: oral tablet (125 mg; 250 mg; 500 mg)
Drug class: Miscellaneous antineoplastics",Abirateroneworks by reducing androgen production in the body. Androgens are malehormonesthat can promote tumor growth in the prostate gland. Abiraterone is used together with steroid medication (prednisoneormethylprednisolone) to treatprostate cancerthat has spread to other parts of the body. abiraterone is used in men whose prostate cancer cannot be treated with surgery or other medicines.,Abiraterone tablets should not be handled by a woman who is pregnant or who may become pregnant.This medicine can harm an unborn baby or cause miscarriage. Abiraterone is not for use by women or children.,"swelling in your ankles or feet, pain in your legs;; fast or irregular heartbeats;; a light-headed feeling, like you might pass out;; severeheadache, blurred vision, pounding in your neck or ears;; pain or burning when you urinate;; low red blood cells (anemia)- pale skin, tiredness, feeling light-headed or short of breath, cold hands and feet;; low blood potassium- leg cramps,constipation, irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling;; liver problems- stomach pain (upper right side),nausea,vomiting, dark urine,jaundice(yellowing of the skin or eyes); or; low blood sugar- headache, hunger, sweating, irritability,dizziness,fast heart rate, and feeling anxious or shaky.",https://www.drugs.com/drug-interactions/abiraterone.html
Acetaminophen,"
Pronunciation: a-SEET-a-MIN-oh-fen
Generic name: acetaminophen (oral)
Brand names: Actamin, Anacin AF, Aurophen, Bromo Seltzer, Children's Tylenol, 
... show all 14 brands

Mapap, M-Pap, Pharbetol, Silapap Childrens, Tactinal, Tempra Quicklets, Tycolene, Tylenol, Vitapap

Dosage forms: oral capsule (325 mg; 500 mg), oral granule, effervescent (650 mg), oral liquid (160 mg/5 mL; 325 mg/10.15 mL; 500 mg/15 mL; 650 mg/20.3 mL), 
... show all 9 dosage forms

oral powder (500 mg), oral suspension (160 mg/5 mL; 650 mg/20.3 mL), oral tablet (325 mg; 500 mg), oral tablet, chewable (160 mg; 80 mg), oral tablet, disintegrating (160 mg; 325 mg; 80 mg), oral tablet, extended release (650 mg)

Drug class: Miscellaneous analgesics","Acetaminophen is apain relieverand a fever reducer. Acetaminophen is used to treat mild to moderate pain, moderate to severe pain in conjunction with opiates, or to reduce fever. Common conditions treated include headache, muscle aches,arthritis, backache, toothaches, sore throat, colds, flu, andfevers.",You should not use this medication if you have severe liver disease. An overdose of acetaminophen can damage your liver or cause death.,"stomach pain (upper right side);; loss of appetite;; tiredness, itching;; dark urine, clay-colored stools; or; jaundice (yellowing of the skin or eyes).",https://www.drugs.com/drug-interactions/acetaminophen.html
Acetylcysteine,"
Generic name: acetylcysteine (oral) [ a-SEET-il-SIS-teen ]
Brand names: NAC, N-A-C Sustain
Dosage forms: oral capsule (500 mg; 600 mg), oral tablet (600 mg)
Drug classes: Antidotes, Mucolytics","Acetylcysteine is used to help prevent or lessen liver damage caused by taking large quantities ofacetaminophen(Tylenol). There are other brands and forms of acetylcysteine available, and some can be purchased over the counter.Not all forms of  acetylcysteine are effective as an acetaminophen antidote.Do not attempt to treat anacetaminophen overdosewithout medical advice.","In an emergency, you may not be able to tell caregivers about your health conditions. Make sure any doctor caring for you afterward knows you received  acetylcysteine. You should not use acetylcysteine if you are allergic to it.","severe or ongoingvomiting;; coughing up blood or vomit that looks like coffee grounds; or; signs that the medicine may not be working--upper stomach pain, loss of appetite, dark urine, clay-colored stools,jaundice(yellowing of the skin or eyes).",https://www.drugs.com/drug-interactions/acetylcysteine.html
Actemra,"
Pronunciation: ac-tem-ra
Generic name: tocilizumab
Dosage form: intravenous (infusion) injection, subcutaneous injection
Drug class: Interleukin inhibitors","Actemra (tocilizumab) is a FDA approved biological medicine that is given by intravenous infusion or injection under the skin to treat specific patients with COVID-19,rheumatoid arthritis,giant cell arteritis,scleroderma, polyarticular or systemic juvenile idiopathic arthritis, and severecytokine release syndrome. Actemra was FDA approved to treatCOVID-19on December 21, 2022, for specific adult patients. Pediatric patients (aged 2 years to 18 years) with COVID-19 still have access to Actemra under emergency use authorization (EUA).","Actemra affects your immune system.You may get infections more easily, even serious or fatal infections.Call your doctor if you have afever, chills, aches, tiredness, cough, skin sores,diarrhea,weight loss, or burning when you urinate. Actemra may also cause a perforation (a hole or tear) in your stomach or intestines. Tell your doctor if you have a fever and stomach pain with a change in your bowel habits.","severe stomach cramps,bloating, diarrhea orconstipation;; unusual bleeding- nosebleeds, bleeding gums, abnormal vaginal bleeding, any bleeding that will not stop, blood in your urine or stools, coughing up blood or vomit that looks like coffee grounds;; liver problems- loss of appetite, right-sided stomach pain, vomiting, confusion, dark urine, clay-colored stools,jaundice(yellowing of the skin or eyes);; signs of infection- fever, chills, aches, skin sores, diarrhea, burning when you urinate;; signs of tuberculosis: cough, shortness of breath, night sweats, loss of appetite, weight loss, and feeling very tired; or; signs of perforation (a hole or tear) in your stomach or intestines- fever, ongoing stomach pain, change in bowel habits.","https://www.drugs.com/drug-interactions/tocilizumab,actemra.html"
Actos,"
Pronunciation: ak-TŌS
Generic name: pioglitazone (oral)
Drug class: Thiazolidinediones",Actos is an oraldiabetes medicinethat helps control blood sugar levels. Actos is used together with diet and exercise to improve blood sugar control in adults withtype 2 diabetes mellitus.,"You should not use Actos if you have severe or uncontrolled heart failure, active bladder cancer, or diabetic ketoacidosis (call your doctor for treatment with insulin). This medicine is not for treating type 1 diabetes. Actos can cause or worsen congestive heart failure. Stop using this medicine and call your doctor at once if you have shortness of breath (even with mild exertion), swelling, or rapid weight gain.","shortness of breath (especially when lying down), unusual tiredness, swelling, rapid weight gain;; pink or red urine, painful or difficult urination, new or worsening urge to urinate;; changes in your vision; or; sudden unusual pain in your hand, arm, or foot.","https://www.drugs.com/drug-interactions/pioglitazone,actos.html"
Acyclovir,"
Generic name: acyclovir (oral) [ a-SYE-klo-veer ]
Brand names: Sitavig, Zovirax
Dosage forms: buccal tablet (50 mg), oral capsule (200 mg), oral suspension (200 mg/5 mL), oral tablet (400 mg; 800 mg)
Drug class: Purine nucleosides","Acycloviris an antiviral drug. It slows the growth and spread of the herpes virus in the body. Acyclovir will not cure herpes, but it can lessen the symptoms of theinfection. Acyclovir is used to treat infections caused by herpes viruses, such as genital herpes,cold sores,shingles, and chicken pox.","Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use. You should not take acyclovir if you are allergic to acyclovir orvalacyclovir(Valtrex). You should not take Sitavig buccal tablets if you are allergic to milk proteins.","easy bruising or bleeding, purple or red pinpoint spots under your skin;; changes in behavior;; confusion, hallucinations; or; signs of a kidney problem--little or no urinating; painful or difficult urination; swelling in your feet or ankles; feeling tired or short of breath.",https://www.drugs.com/drug-interactions/acyclovir.html
